,x,y,z,radii,Pseudomonas,Stenotrophomonas,Unclassified Xanthomonadaceae,Staphylococcus,Cloacibacterium,Unclassified Comamonadaceae,Bacteroides,Unclassified Pseudomonadaceae,Acinetobacter,Bacillus,Corynebacterium,Hylemonella,Unclassified Streptophyta,Enterococcus,Faecalibacterium,Unclassified Ruminococcaceae,Dechloromonas,Unclassified S24-7,Unclassified Clostridiales,Unclassified Enterobacteriaceae,Erwinia,Enhydrobacter,Parabacteroides,Comamonas,Clostridium,Akkermansia,Prevotella,Micrococcus,Ruminococcus,Unclassified Microbacteriaceae,Diaphorobacter,Unclassified Halomonadaceae,Paraprevotella,Thermicanus,Dorea,Halomonas,Unclassified Lachnospiraceae,Bradyrhizobium,Bifidobacterium,Unclassified Gemellales,Sutterella,Desulfovibrio,Unclassified ML615J-28
3A1,38.863703,-151.300804,33.784327,20,0.000843882,0.835443038,0.064135021,0.004219409,0.043881857,0.027004219,0,0.000843882,0.011814346,0,0,0.001687764,0,0,0,0,0.001687764,0.001687764,0,0,0,0.001687764,0,0.001687764,0,0,0,0,0,0,0.001687764,0.000843882,0,0,0,0,0,0.000843882,0,0,0,0,0
3A2,63.27551,-101.62685,33.784327,20,0.000843882,0.940084388,0.057383966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A3,48.377699,-181.263032,33.784327,20,0.005063291,0.914767932,0.077637131,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A4,59.646114,-130.455817,33.784327,20,0.003375527,0.905485232,0.06835443,0.000843882,0.006751055,0.000843882,0.004219409,0,0.000843882,0,0,0,0,0,0.002531646,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0.000843882,0,0,0.000843882,0,0.001687764,0.000843882,0,0,0,0,0
3A5,107.578744,-96.609718,33.784327,20,0.000843882,0.936708861,0.046413502,0,0.003375527,0.001687764,0.004219409,0,0.001687764,0,0,0,0,0,0.002531646,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0.000843882,0,0,0,0,0
3A6,63.078642,-199.375814,76.216377,20,0.001687764,0.916455696,0.079324895,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A7,54.256024,-142.916727,76.216377,20,0.002531646,0.920675105,0.071729958,0,0.001687764,0.000843882,0.000843882,0,0,0,0,0,0,0,0,0.000843882,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A8,91.624536,-107.210377,76.216377,20,0.001687764,0.932489451,0.063291139,0.000843882,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0
3A9,72.360405,-182.527078,76.216377,20,0.000843882,0.917299578,0.077637131,0.002531646,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A10,91.305303,-133.730469,76.216377,20,0.001687764,0.918987342,0.070886076,0.006751055,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0
3A11,125.555885,-129.61116,76.216377,20,0,0.938396624,0.05907173,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3A12,158.007309,-160.569743,76.216377,20,0,0.940084388,0.044725738,0.010970464,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0.001687764,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0
3B1,103.45369,-237.952454,111.390923,20,0.000843882,0.918987342,0.065822785,0.000843882,0.005063291,0.001687764,0,0,0,0,0,0,0,0,0.000843882,0,0.000843882,0,0,0,0,0,0,0,0,0,0.004219409,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0
3B2,74.718013,-219.212768,111.390923,20,0.005907173,0.924050633,0.069198312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0
3B3,56.45499,-173.313126,111.390923,20,0.001687764,0.924894515,0.070886076,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B4,63.408524,-123.891322,111.390923,20,0.001687764,0.947679325,0.048101266,0.001687764,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B5,88.997251,-95.708204,111.390923,20,0.000843882,0.941772152,0.054852321,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B6,112.51945,-203.819671,111.390923,20,0.000843882,0.921518987,0.075949367,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0
3B7,108.733541,-154.95251,111.390923,20,0.000843882,0.922362869,0.073417722,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B8,128.560213,-105.29762,111.390923,20,0.000843882,0.945991561,0.053164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B9,138.400818,-184.57338,111.390923,20,0,0.945991561,0.051476793,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B10,161.495198,-167.542873,111.390923,20,0.000843882,0.91814346,0.075105485,0.004219409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0
3B11,100.464299,-242.44143,151.025163,20,0.000843882,0.929957806,0.064978903,0.002531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0
3B12,70.814382,-217.875845,151.025163,20,0.007594937,0.925738397,0.056540084,0.003375527,0.000843882,0.000843882,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0
3C1,62.354228,-182.029421,151.025163,20,0.000843882,0.930801688,0.063291139,0,0.004219409,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C2,60.030521,-148.350628,151.025163,20,0.000843882,0.935864979,0.059915612,0.002531646,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C3,76.504082,-112.00209,151.025163,20,0.005063291,0.920675105,0.071729958,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C4,128.343774,-243.946266,151.025163,20,0.000843882,0.938396624,0.059915612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C5,110.595909,-193.913193,151.025163,20,0.000843882,0.924050633,0.071729958,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0
3C6,100.861437,-149.436278,151.025163,20,0.000843882,0.923206751,0.067510549,0.000843882,0.004219409,0.000843882,0,0,0.000843882,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C7,102.721978,-114.593458,151.025163,20,0,0.952742616,0.044725738,0.001687764,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C8,144.761375,-190.170818,151.025163,20,0.002531646,0.929113924,0.066666667,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C9,147.312324,-141.517746,151.025163,20,0.001687764,0.924894515,0.070886076,0.000843882,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C10,81.894316,-229.060194,190.608931,20,0,0.933333333,0.062447257,0.003375527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0
3C11,65.891096,-203.728103,190.608931,20,0.001687764,0.913080169,0.080168776,0.003375527,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C12,62.157842,-164.974565,190.608931,20,0.001687764,0.928270042,0.065822785,0.001687764,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D1,134.143295,-249.686249,190.608931,20,0.002531646,0.934177215,0.059915612,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D2,115.55734,-221.572214,190.608931,20,0.004219409,0.93164557,0.061603376,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D3,95.980717,-183.516414,190.608931,20,0.001687764,0.930801688,0.066666667,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D4,92.823376,-152.318342,190.608931,20,0.000843882,0.962025316,0.030379747,0.005063291,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D5,95.550497,-110.856619,190.608931,20,0,0.926582278,0.067510549,0.004219409,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D6,138.524267,-201.896071,190.608931,20,0.000843882,0.928270042,0.055696203,0.01350211,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0
3D7,126.672743,-172.663286,190.608931,20,0.001687764,0.92742616,0.066666667,0.000843882,0.001687764,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0
3D8,147.193216,-144.726521,190.608931,20,0.001687764,0.914767932,0.065822785,0.016033755,0,0,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D9,156.605225,-243.811966,225.42897,20,0.002531646,0.874261603,0.060759494,0.056540084,0,0.000843882,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0.000843882,0,0,0.000843882,0,0,0
3D10,125.000083,-234.208826,225.42897,20,0.000843882,0.767932489,0.071729958,0.151898734,0.002531646,0.000843882,0,0,0,0,0.001687764,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0.000843882,0,0,0,0,0,0,0,0,0
3D11,105.512406,-220.123377,225.42897,20,0.000843882,0.916455696,0.058227848,0.024472574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D12,79.635013,-193.037704,225.42897,20,0.000843882,0.923206751,0.044725738,0.031223629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00E+01,76.353363,-156.078781,225.42897,20,0.001687764,0.791561181,0.063291139,0.137552743,0,0.000843882,0.000843882,0,0.000843882,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0.000843882,0,0,0
3.00E+02,87.595964,-131.771873,225.42897,20,0.000843882,0.864135021,0.050632911,0.08185654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0
3.00E+03,148.502755,-218.366078,225.42897,20,0,0.774683544,0.016033755,0.204219409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004219409,0,0,0
3.00E+04,138.784471,-197.138231,225.42897,20,0.001687764,0.92742616,0.057383966,0.01350211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00E+05,126.581433,-166.063934,225.42897,20,0.002531646,0.892827004,0.066666667,0.029535865,0.005063291,0.000843882,0,0,0,0,0.000843882,0,0,0,0,0,0.000843882,0,0,0.000843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
